Date de modification de la donnée;IDENT PARKING;Nom du parking;Propriétaire;Titulaire du contrat;Exploitant;Type de gestion;Secteur;INSEE Commune;Commune;IDENT EQUIPEMENT PUBLIC;Année de mise en service;Type de construction;Nombre de niveaux;Places Hors gabarit < 3.5T;Places Hors gabarit > 3.5T;Nombre de places utilisées en fourrière;Potentiel global : Parking + Parc Relais + Fourrière;Total de places en Parking ou Parc Relais;Dont max de places utilisées en parc-relais;Dont places PMR;Dont places VL électrique;Dont places Autopartage ou Autocool ou Citiz;Dont Covoiturage;Et dont places pour station de lavage;Places 2 roues à moteur;Dont 2 roues à moteur électrique;Total places vélo;Dont Places vélo électrique
2023-11-21;CUBPK41;PARC-RELAIS ARLAC - TBM Kelolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33281;MERIGNAC;281J0573;2008;SILO;5;0;0;0;397;397;397;9;6;0;10;0;32;0;30;6
2024-04-23;CUBPK10;AEROPORT P1 PROXI - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J2519;2008;SURFACE;1;0;0;0;375;375;0;0;0;0;0;0;0;0;0;0
2024-04-17;CUBPK18;ALLEES DE CHARTRES - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0362;2005;SURFACE;1;20;12;0;399;399;0;8;2;5;0;0;0;0;0;0
2023-06-29;CUBPK43;PARC-RELAIS BOUGNARD - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33318;PESSAC;318J0306;2004;SURFACE;1;0;0;0;168;168;168;10;0;0;6;0;48;0;44;7
2023-06-29;CUBPK42;PARC-RELAIS ARTS ET METIERS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33522;TALENCE;522J0158;2004;SILO;4;0;0;0;593;593;593;12;10;0;10;0;50;0;33;0
2024-02-28;CUBPK05;SALINIERES - Indigo TPS;BORDEAUX_METROPOLE;BP3000;INDIGO_TPS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;HYPER_CENTRE;33063;BORDEAUX;063J0016;2003;ENTERRE;5;10;0;0;407;407;0;8;21;0;0;0;16;0;62;0
2023-06-29;CUBPK51;PARC-RELAIS LAURIERS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33249;LORMONT;249J0071;2003;SURFACE;1;0;0;0;189;189;189;4;0;0;5;0;40;0;40;0
2024-01-16;CUBPK37;CROIX DE SEGUEY - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;063J1138;2003;SURFACE;1;0;0;0;51;51;0;2;0;0;0;0;0;0;0;0
2024-04-17;CUBPK27;CITE MONDIALE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0017;1992;ENTERRE;4;0;0;0;844;844;0;14;2;3;0;2;0;0;0;0
2024-04-16;CUBPK35;PORTE DE BORDEAUX - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;063J0019;1992;ENTERRE;4;0;0;0;707;707;0;9;3;0;0;0;0;0;30;0
2023-11-07;CUBPK06;CAMILLE JULLIAN - Indigo park;BORDEAUX_METROPOLE;INDIGO_CENTRAL_PARCS;INDIGO_PARK;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;HYPER_CENTRE;33063;BORDEAUX;063J0012;1991;ENTERRE;4;0;0;0;338;338;0;7;0;0;0;0;5;0;0;0
2024-04-16;CUBPK33;GARE SAINT JEAN - Metpark;SNCF;METPARK;METPARK;CONCESSION_DE_SERVICE;CENTRE;33063;BORDEAUX;063J0018;1990;ENTERRE;4;0;0;0;391;391;0;7;2;0;0;0;0;0;0;0
2024-01-16;CUBPK105;Gare Saint Jean ARRET MINUTE P1 NORD - Metpark;SNCF_GARES_ET_CONNEXIONS_BAIL_45_ANS;METPARK;METPARK;CONCESSION_DE_SERVICE;CENTRE;33063;BORDEAUX;Apreciser105;1990;ENTERRE;1;0;0;0;46;46;0;1;0;0;0;0;0;0;0;0
2024-04-16;CUBPK07;GRANDS HOMMES - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0014;1989;ENTERRE;6;0;0;0;413;413;0;9;0;0;0;2;0;0;0;0
2024-04-16;CUBPK40;PESSAC CENTRE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33318;PESSAC;318J0020;1985;ENTERRE;3;0;0;0;343;343;84;6;2;0;0;0;6;0;20;0
2024-04-17;CUBPK39;MERIGNAC CENTRE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33281;MERIGNAC;281J0002;1985;ENTERRE;3;0;0;0;280;280;84;6;3;0;0;0;20;0;55;0
2024-04-16;CUBPK24;GAMBETTA - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0010;1981;ENTERRE;3;0;0;0;473;473;0;10;2;0;0;8;20;0;30;0
2024-04-17;CUBPK30;CENTRE COMMERCIAL MERIADECK - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0008;1980;MIXTE;5;0;0;0;1267;1267;0;34;19;0;0;5;33;0;32;0
2024-04-17;CUBPK28;FRONT DU MEDOC - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0007;1977;SILO;3;11;0;418;997;454;0;3;0;0;0;0;69;0;48;0
2024-04-16;CUBPK38;LIBERATION - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33069;LE BOUSCAT;069J0077;1974;ENTERRE;2;0;0;0;138;138;0;3;2;0;0;0;4;0;0;0
2024-06-25;CUBPK99;Centre commerçant Ginko - Indigo park;AUTRE;INDIGO_PARK;INDIGO_PARK;GESTION_PRIVEE;PERIPHERIE;33063;BORDEAUX;Apreciser99;2020;ENTERRE;3;0;0;0;952;952;0;20;8;0;0;0;0;0;0;0
2023-05-04;CUBPK100;Bassins à flots - EFFIA;AUTRE;AUTRE;EFFIA_STATIONNEMENT;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;Apreciser100;2020;SILO;3;0;0;0;536;536;0;12;10;0;0;0;10;0;100;0
2024-02-04;CUBPK92;BASTIDE NIEL - Interparking;AUTRE;INTERPARKING;INTERPARKING;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2573;2018;SURFACE;1;0;0;0;248;248;0;5;0;0;0;0;0;0;0;0
2024-07-23;CUBPK81;P3 BELCIER - GARE SAINT JEAN - Indigo park;SNCF;INDIGO_INFRA_FRANCE;INDIGO_PARK;AUTORISATION_OCCUPATION_TEMPORAIRE;CENTRE;33063;BORDEAUX;063J2559;2017;SILO;7;0;0;0;738;738;0;19;7;0;0;0;44;0;0;0
2024-07-23;CUBPK108;GARE SAINT JEAN - ARRET MINUTE P3 BELCIER -  Indigo park;SNCF_GARES_ET_CONNEXIONS_BAIL_45_ANS;INDIGO_INFRA_FRANCE;INDIGO_PARK;AUTORISATION_OCCUPATION_TEMPORAIRE;CENTRE;33063;BORDEAUX;Apreciser108;2017;SILO;1;0;0;0;112;112;0;0;0;0;0;0;0;0;0;0
2024-04-16;CUBPK72;BEGLES LES SECHERIES - Metpark;METPARK;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33039;BEGLES;039J0147;2016;SILO;3;0;0;0;405;405;0;9;8;0;0;0;6;0;19;0
2023-11-21;CUBPK76;PARC-RELAIS GARE DE BLANQUEFORT - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33075;BLANQUEFORT;056J0092;2016;SURFACE;1;0;0;0;206;206;206;5;0;0;5;0;0;0;0;0
2023-06-29;CUBPK77;PARC-RELAIS GARE DE BRUGES (ABONNES)  - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33075;BRUGES;075J0092;2016;SURFACE;1;0;0;0;58;58;58;3;0;0;5;0;0;0;0;0
2024-04-26;CUBPK79;MEGARAMA - Metpark;AGORA_CINEMA;METPARK;METPARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J0351;2016;ENTERRE;3;0;0;0;526;526;0;12;0;0;0;0;0;0;0;0
2023-06-29;CUBPK59;PARC-RELAIS GARE DE PESSAC ALOUETTE - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33318;PESSAC;318J0658;2015;SURFACE;1;0;0;0;148;148;148;4;4;0;5;0;0;0;30;7
2024-02-28;CUBPK04;MEUNIER - SAINT JEAN - Indigo TPS;BORDEAUX_METROPOLE;BP3000;INDIGO_TPS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;CENTRE;33063;BORDEAUX;063J2502;2012;ENTERRE;4;0;0;0;330;330;0;7;17;0;0;0;20;0;30;0
2024-03-29;CUBPK08;CHU GROUPE HOSPITALIER PELLEGRIN - Indigo park;CHU_GROUPE_HOSPITALIER_PELLEGRIN;INDIGO_INFRA_FRANCE;INDIGO_PARK;DELEGATION_DE_SERVICE_PUBLIC_POUR_LE_CHU;CENTRE;33063;BORDEAUX;063J2537;2012;SURFACE;1;0;0;0;2376;2376;0;45;0;0;0;0;0;0;484;0
2023-02-22;CUBPK22;LEROY - Effia;SNCF;EFFIA;EFFIA_STATIONNEMENT;CONCESSION_DE_SERVICE;CENTRE;33063;BORDEAUX;063J2538;2010;ENTERRE;3;0;0;0;137;137;0;3;0;0;0;0;12;0;0;0
2023-06-29;CUBPK44;PARC-RELAIS BRANDENBURG - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J1143;2009;SURFACE;1;0;0;0;211;211;211;6;0;0;5;0;20;0;20;0
2024-04-04;CUBPK96;Parking gratuit GARE PAREMPUYRE;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;BORDEAUX_METROPOLE;AUTRE;PERIPHERIE;33312;PAREMPUYRE;Apreciser96;2009;SURFACE;0;0;0;0;151;151;0;4;2;0;10;0;0;0;12;0
2023-02-22;CUBPK13;AEROPORT PR EXPRESS - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J0572;2008;SURFACE;1;0;0;0;108;108;0;2;0;0;0;0;0;0;0;0
2023-06-29;CUBPK50;PARC-RELAIS LA GARDETTE SUD - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33249;LORMONT;249J0002;2008;SURFACE;1;0;0;0;151;151;151;4;0;0;5;0;36;0;0;0
2024-06-28;CUBPK14;BORD'EAU VILLAGE - Qpark;AUTRE;Q_PARK;Q_PARK;GESTION_PRIVEE;CENTRE;33063;BORDEAUX;063J2499;2005;SILO;4;0;0;0;540;540;0;23;10;0;0;0;10;0;90;0
2023-11-07;CUBPK02;BOURSE - JAURES - Indigo TPS;BORDEAUX_METROPOLE;BP3000;INDIGO_TPS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;HYPER_CENTRE;33063;BORDEAUX;063J0015;2004;ENTERRE;7;20;0;0;1661;1661;0;34;5;0;0;3;44;0;60;0
2023-06-29;CUBPK55;PARC-RELAIS STALINGRAD - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33063;BORDEAUX;063J1081;2004;SURFACE;1;0;0;0;214;214;214;6;0;0;5;0;20;0;20;0
2024-04-17;CUBPK32;LHOTE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J1139;2004;SILO;4;0;0;0;111;111;0;5;0;0;0;0;0;0;32;0
2023-06-29;CUBPK48;PARC-RELAIS GALIN - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;CENTRE;33063;BORDEAUX;063J1082;2003;SURFACE;1;0;0;0;279;279;279;8;0;0;5;0;36;0;36;0
2024-01-16;CUBPK102;Gare Saint Jean ARRET MINUTE P2 SUD - Metpark;SNCF;METPARK;METPARK;CONCESSION_DE_SERVICE;CENTRE;33063;BORDEAUX;Apreciser102;1990;ENTERRE;1;;;0;104;104;0;4;0;0;0;0;0;0;0;0
2024-04-17;CUBPK25;PEY BERLAND - SAINT CHRISTOLY - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0006;1984;ENTERRE;3;0;0;0;667;667;0;18;4;0;0;6;38;0;35;0
2024-04-16;CUBPK17;ALSACE LORRAINE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J1140;1983;ENTERRE;5;0;0;0;120;1250;0;0;0;0;0;0;0;0;0;0
2024-04-16;CUBPK26;REPUBLIQUE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0013;1980;ENTERRE;3;0;0;0;406;406;0;9;0;0;0;0;10;0;18;0
2024-04-17;CUBPK16;VICTOR HUGO - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;HYPER_CENTRE;33063;BORDEAUX;063J0003;1978;MIXTE;7;0;0;0;684;684;0;17;0;0;0;0;20;0;60;0
2024-02-28;CUBPK03;TOURNY - Indigo TPS;BORDEAUX_METROPOLE;BP3000;INDIGO_TPS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;HYPER_CENTRE;33063;BORDEAUX;063J0005;1974;ENTERRE;2;0;0;0;957;957;0;20;48;0;0;6;11;0;15;0
